name,x,y,z
english_muffin,8.279621,5.9435453,-5.6050644
enoki_mushroom,8.559129,2.221182,-5.99281
epazote,7.2865205,5.874273,-6.3045154
epiphyllum_flower,8.309261,1.4835067,-4.2147646
er_cai,8.502087,1.3405917,-5.6566434
erythritol,7.5043335,2.3911324,-2.0141606
escarole,8.052215,5.295041,-5.265166
espelette_pepper,8.346637,4.789976,-5.2063146
evaporated_milk,7.984978,2.4773045,-1.6594362
ezine_cheese,7.4931064,4.399266,-3.102411
fajita_seasoning,7.6424913,5.876424,-6.243754
falafel,7.7620325,4.7072797,-4.3964367
falernum,9.422703,3.4443588,-0.76635927
farina,7.732969,3.6538045,-1.2137933
farmer_cheese,8.12707,5.6733317,-5.3292947
farro,8.147207,4.7943745,-4.778551
fava_bean,8.685263,2.9362714,-5.5694876
feijoa,7.749021,3.8324287,-1.5623056
fennel,8.617133,4.573473,-5.4647527
fennel_pollen,8.387444,4.9431176,-5.174281
fennel_seed,8.575074,3.8440957,-5.510952
fenugreek_leaf,5.614399,3.9198563,-4.7800417
fenugreek_seed,5.702624,3.8109946,-4.7101064
fermentation_starter_cake,7.617134,2.1497808,-2.6643813
